,by,descendants,id,kids,score,time,title,type,url
0,z3phyr,45,40543651,"[40545615, 40545346, 40543951, 40544141, 40544831, 40545155, 40543959, 40544064, 40545041, 40544144, 40543949, 40544186]",189,1717226748,CERN Root,story,https://root.cern/
1,hiAndrewQuinn,25,40544043,"[40546005, 40544426, 40545567, 40544403, 40545583, 40544996, 40544399]",96,1717232117,Lessons learned from 6 months of operating a tiny news archive,story,https://hiandrewquinn.github.io/til-site/posts/lessons-learned-from-6-months-of-operating-a-teensy-tiny-news-archive/
2,luuurker,39,40545436,"[40545822, 40545770, 40545842, 40545848, 40545702, 40546139, 40545768, 40545777, 40546254, 40546081, 40545556, 40546107]",62,1717247327,Napster Sparked a File-Sharing Revolution 25 Years Ago,story,https://torrentfreak.com/napster-sparked-a-file-sharing-revolution-25-years-ago-250601/
3,nickca,79,40540952,"[40545626, 40542678, 40543230, 40543191, 40542185, 40542273, 40545470, 40542803, 40544069, 40545633, 40545326, 40541816, 40544273, 40543863, 40542350, 40544192, 40541832, 40543220, 40544312, 40543263, 40542204, 40542091, 40543010, 40542398, 40541895, 40542386, 40541967, 40542560, 40542340]",525,1717194188,"UI elements with a hand-drawn, sketchy look",story,https://wiredjs.com/
4,chrispsn,150,40544283,"[40545681, 40544997, 40545751, 40544871, 40544815, 40546248, 40544491, 40545835, 40545185, 40545786, 40544672, 40544687, 40545362, 40544605, 40544465, 40544582, 40545838, 40544562, 40545933, 40544983, 40544700, 40545394, 40545937, 40544816, 40545713, 40544769, 40544520, 40544454, 40544719, 40545382, 40544463, 40544782, 40544819, 40545194, 40544662, 40544457, 40545279]",223,1717235273,Arthur Whitney releases an open-source K with MIT license,story,https://shakti.com/k
5,markyg,35,40544875,"[40545915, 40545700, 40546058, 40545647, 40545881, 40545259, 40545233, 40545209, 40545715, 40545688]",117,1717241923,Space secrets leak disclosure,story,https://huggingface.co/blog/space-secrets-disclosure
6,thunderbong,43,40543330,"[40543801, 40543844, 40543764, 40544074, 40544993, 40544182, 40544232, 40545159, 40545605]",81,1717222681,"Nginx Unit: open-source, lightweight and versatile application runtime",story,https://unit.nginx.org/
7,cainxinth,227,40542321,"[40545620, 40544778, 40546038, 40544442, 40544607, 40543555, 40544768, 40543413, 40545030, 40544879, 40544404, 40545131, 40545171, 40544529, 40544886, 40545658, 40545142, 40543806, 40544560, 40543705, 40545265, 40543728, 40543915, 40543352, 40545884, 40544221, 40543390, 40544615, 40544608, 40543696, 40544036, 40543982, 40544754, 40544416, 40545016, 40544559]",250,1717208187,Tiny number of 'supersharers' spread the majority of fake news,story,https://www.science.org/content/article/tiny-number-supersharers-spread-vast-majority-fake-news
8,jer0me,124,40541559,"[40543669, 40541723, 40541948, 40546056, 40546085, 40542470, 40543133, 40541802, 40542808, 40542389, 40542905, 40544231, 40543011, 40542673, 40541961, 40542545, 40542881, 40543321, 40543340, 40542900, 40545302, 40542047, 40542556, 40542516, 40542310, 40542082, 40543211, 40542648, 40542633, 40542015]",201,1717200336,60 kHz (2022),story,https://ben.page/wwvb
9,mebcitto,112,40539172,"[40543023, 40540300, 40544705, 40539779, 40544318, 40543901, 40540975, 40540395, 40542325, 40542292, 40540004, 40542336, 40541919, 40540074]",185,1717183040,Heroku Postgres is now based on AWS Aurora,story,https://blog.heroku.com/heroku-postgres-essential-launch
